,,,,,,,,,,,,,Sales Report,,,
,,,,,,,,,,,,,From: 01/01/2025 To: 02/28/2025,,,
Ref,,,,Date,Type,Customer,Service Advisor,License ,,Ex HST,HST,D/C,Total,Cost Ex. HST,Profit,GP%
Demo Customer A,,,,,,,,,,,,,,,,
90001,,,,01/04/2025,Invoice,Demo Customer A,,DEMO001,,$663.94,$86.31,$0.00,$750.25,$326.98,$336.96,50.75
90007,,,,02/11/2025,Invoice,Demo Customer A,,DEMO001,,$146.95,$19.10,$0.00,$166.05,$60.00,$86.95,59.17
,,,,,Demo Customer A Total: ,,,,,$810.89,$105.41,$0.00,$916.30,$386.98,$423.91,52.28
"Demo Fleet, Inc.",,,,,,,,,,,,,,,,
90002,,,,01/07/2025,Invoice,"Demo Fleet, Inc.",001,FLEET12,,$1712.55,$213.93,$66.96,$1859.52,$1344.00,$301.59,18.33
90005,,,,01/28/2025,Credit,"Demo Fleet, Inc.",001,FLEET12,,$-120.00,$-15.60,$0.00,$-135.60,$-80.00,$-40.00,33.33
,,,,,"Demo Fleet, Inc. Total: ",,,,,$1592.55,$198.33,$66.96,$1723.92,$1264.00,$261.59,17.15
Demo Customer B,,,,,,,,,,,,,,,,
90003,,,,01/15/2025,Invoice,Demo Customer B,,DEMO212,,$402.05,$52.27,$0.00,$454.32,$269.57,$132.48,32.95
90004,,,,01/18/2025,Invoice,Demo Customer B,,DEMO212,,$36.39,$4.73,$0.00,$41.12,$11.27,$25.12,69.03
90008,,,,02/14/2025,Invoice,Demo Customer B,,DEMO212,,$82.95,$10.78,$0.00,$93.73,$30.00,$52.95,63.83
Demo Customer C,,,,,,,,,,,,,,,,
90006,,,,02/03/2025,Invoice,Demo Customer C,,DEMO933,,$0.00,$0.00,$0.00,$0.00,$58.71,$-58.71,0.00
90009,,,,02/21/2025,Invoice,Demo Customer C,,DEMO933,,$530.95,$69.02,$0.00,$599.97,$275.52,$255.43,48.11
Page ,1,of ,1,,,,,,Date Printed: 03/01/2025,,,,,,,
